"sent_n","ISO_language","coll","best","dstar","q1","q2","type","sent_numb","omega"
"11","swe","PUD","2","4","0.4944","0.4405","2",43,0.767379898123073
"11","tha","PSUD","7","2","0.818","0.3779","6-7",20,0.814284798534799
"11","tha","PUD","5","2","0.7151","0.41","5",20,0.816334000637599
"11","tur","PSUD","4","4","0.63","0.001","3-4",74,0.555885615091012
"11","tur","PUD","4","4","0.6201","0.001","3-4",74,0.56618381096642
"11","zho","PSUD","4","3","0.6123","0.277","3-4",41,0.65396989115258
"11","zho","PUD","7","7","0.5483","0.3379","6-7",41,0.649498025638004
"12","ara","PSUD","7","3","0.7877","0.4105","6-7",44,0.832582568203616
"12","ara","PUD","5","2","0.7302","0.3864","5",44,0.800177543688926
"12","ces","PSUD","6","8","0.6589","0.3766","6-7",61,0.820971085036378
"12","ces","PUD","4","4","0.5225","0.3059","3-4",61,0.752308051898476
"12","deu","PSUD","4","4","0.5168","0.278","3-4",39,0.680901671053284
"12","deu","PUD","4","4","0.5067","0.2359","3-4",39,0.658175357201761
"12","eng","PSUD","4","5","0.5986","0.3164","3-4",44,0.870892616664253
"12","eng","PUD","1","2","0.3787","0.4883","1",44,0.796892037657743
"12","fin","PSUD","4","3","0.6454","0.3758","3-4",87,0.835915169902456
"12","fin","PUD","4","3","0.5588","0.4044","3-4",87,0.807617668120129
"12","fra","PSUD","4","4","0.6665","0.2572","3-4",37,0.873566742311278
"12","fra","PUD","4","5","0.5299","0.2646","3-4",37,0.809161726973354
"12","hin","PSUD","7","3","0.8366","0.2699","6-7",27,0.64663549117515
"12","hin","PUD","4","3","0.6732","0.1641","3-4",27,0.645341371323308
"12","ind","PSUD","5","3","0.7282","0.3585","5",55,0.8634111022182
"12","ind","PUD","4","4","0.5925","0.3133","3-4",55,0.838373968910778
"12","isl","PSUD","4","3","0.6779","0.3867","3-4",52,0.861847308000175
"12","isl","PUD","6","2","0.6031","0.4347","6-7",52,0.803006392266478
"12","ita","PSUD","4","3","0.6475","0.4186","3-4",20,0.885157848602793
"12","ita","PUD","2","4","0.5188","0.445","2",20,0.849049005408022
"12","jpn","PSUD","7","4","0.8484","0.3016","6-7",25,0.734246039242006
"12","jpn","PUD","4","4","0.5698","0.2051","3-4",25,0.762614290895648
"12","kor","PSUD","7","5","0.7039","0.2339","6-7",61,0.657623263056556
"12","kor","PUD","7","5","0.6946","0.2387","6-7",61,0.659341613765746
"12","pol","PSUD","7","5","0.7529","0.47","6-7",62,0.878522637055973
"12","pol","PUD","4","3","0.6232","0.3948","3-4",62,0.852002633888395
"12","por","PSUD","4","6","0.5996","0.001","3-4",36,0.875270732279641
"12","por","PUD","4","4","0.5211","0.3701","3-4",36,0.799239910635069
"12","rus","PSUD","3","3","0.6411","0.4134","3-4",45,0.839593424190567
"12","rus","PUD","3","3","0.5637","0.4422","3-4",45,0.827772509045478
"12","spa","PSUD","3","3","0.6532","0.3922","3-4",31,0.845195850255687
