"sent_n","ISO_language","coll","best","dstar","q1","q2","type","sent_numb","omega"
"19","ces","PUD","3","3","0.5282","0.3453","3-4",43,0.85283750949859
"19","deu","PSUD","4","4","0.5241","0.2236","3-4",49,0.767844205663923
"19","deu","PUD","4","4","0.493","0.2107","3-4",49,0.734708610350055
"19","eng","PSUD","4","5","0.5743","0.1967","3-4",44,0.875292653644437
"19","eng","PUD","4","7","0.4379","0.1818","3-4",44,0.838069122264688
"19","fin","PSUD","6","8","0.6472","0.3167","6-7",31,0.882123163676216
"19","fin","PUD","6","4","0.5648","0.3244","6-7",31,0.856006176178914
"19","fra","PSUD","4","4","0.6477","0.2202","3-4",47,0.897739652365179
"19","fra","PUD","4","5","0.5058","0.236","3-4",47,0.862090633926385
"19","hin","PSUD","7","3","0.8576","0.2262","6-7",44,0.769609132131095
"19","hin","PUD","4","3","0.6732","0.1747","3-4",44,0.753831008779857
"19","ind","PSUD","5","3","0.7145","0.2882","5",52,0.903978289381703
"19","ind","PUD","4","3","0.639","0.2935","3-4",52,0.885193166939529
"19","isl","PSUD","4","4","0.644","0.2703","3-4",57,0.915014165400806
"19","isl","PUD","4","4","0.5359","0.299","3-4",57,0.879157127440473
"19","ita","PSUD","4","4","0.648","0.2468","3-4",49,0.910847278301124
"19","ita","PUD","4","5","0.5146","0.2663","3-4",49,0.886434197802238
"19","jpn","PSUD","7","5","0.7898","0.1732","6-7",39,0.823943718546369
"19","jpn","PUD","4","5","0.5746","0.1193","3-4",39,0.839505906831965
"19","kor","PSUD","7","9","0.7181","0.1898","6-7",53,0.770695913441808
"19","kor","PUD","7","9","0.7127","0.1915","6-7",53,0.774407302784213
"19","pol","PSUD","7","4","0.7027","0.2846","6-7",46,0.892754091182113
"19","pol","PUD","7","7","0.6287","0.3028","6-7",46,0.874149924897075
"19","por","PSUD","4","4","0.6259","0.2304","3-4",52,0.880444589876444
"19","por","PUD","4","5","0.5045","0.2336","3-4",52,0.85198709274186
"19","rus","PSUD","5","3","0.6633","0.2966","5",49,0.875577887066842
"19","rus","PUD","4","4","0.547","0.2635","3-4",49,0.853937984048825
"19","spa","PSUD","4","4","0.6499","0.2173","3-4",49,0.906210707282685
"19","spa","PUD","4","5","0.5114","0.2396","3-4",49,0.872964428026966
"19","swe","PSUD","4","4","0.5939","0.3196","3-4",55,0.909333687187565
"19","swe","PUD","4","5","0.4733","0.3102","3-4",55,0.876170489496724
"19","tha","PSUD","5","2","0.8414","0.307","5",38,0.880407216982165
"19","tha","PUD","7","6","0.6462","0.2889","6-7",38,0.88526141855281
"19","tur","PSUD","5","3","0.6585","0.2025","5",52,0.729229465227283
"19","tur","PUD","5","3","0.6434","0.2045","5",52,0.728696089482968
"19","zho","PSUD","5","3","0.5968","0.2243","5",49,0.702816199621058
"19","zho","PUD","7","6","0.5474","0.2312","6-7",49,0.703849422695999
"20","ara","PSUD","5","3","0.7355","0.2552","5",57,0.896328994313633
"20","ara","PUD","5","4","0.6154","0.2283","5",57,0.888790042326708
"20","ces","PSUD","3","4","0.6075","0.2592","3-4",42,0.883601996229996
"20","ces","PUD","4","5","0.5026","0.2335","3-4",42,0.856245205927974
"20","deu","PSUD","4","4","0.5291","0.2001","3-4",50,0.75863038903838
"20","deu","PUD","4","4","0.4841","0.1971","3-4",50,0.723825806001571
"20","eng","PSUD","4","5","0.5641","0.2585","3-4",57,0.903167013620532
"20","eng","PUD","4","8","0.4381","0.1825","3-4",57,0.864946930304688
"20","fin","PSUD","6","5","0.6175","0.3074","6-7",28,0.867180041440999
"20","fin","PUD","6","4","0.5858","0.3087","6-7",28,0.862471265197886
"20","fra","PSUD","4","4","0.6451","0.2468","3-4",36,0.925844048963767
"20","fra","PUD","4","5","0.4981","0.267","3-4",36,0.88711856073785
"20","hin","PSUD","7","3","0.7242","0.1635","6-7",43,0.722563283843257
"20","hin","PUD","7","6","0.6649","0.1789","6-7",43,0.716799565836076
"20","ind","PSUD","5","3","0.7119","0.2814","5",56,0.904014769807172
"20","ind","PUD","7","6","0.6318","0.2961","6-7",56,0.888058181410748
"20","isl","PSUD","4","4","0.6613","0.2508","3-4",45,0.927265301917793
"20","isl","PUD","4","5","0.5011","0.2849","3-4",45,0.88908946196522
"20","ita","PSUD","4","4","0.6298","0.259","3-4",51,0.914243462486074
"20","ita","PUD","4","5","0.4849","0.2816","3-4",51,0.884312906461715
"20","jpn","PSUD","7","7","0.777","0.1678","6-7",40,0.808297750889556
"20","jpn","PUD","4","6","0.5397","0.0308","3-4",40,0.831499600476181
"20","kor","PSUD","7","7","0.7249","0.1684","6-7",32,0.743169069708188
"20","kor","PUD","7","8","0.7106","0.1732","6-7",32,0.743053877520428
"20","pol","PSUD","6","6","0.6141","0.2808","6-7",40,0.907086781361771
"20","pol","PUD","4","4","0.5654","0.2779","3-4",40,0.892488847696234
"20","por","PSUD","4","4","0.6593","0.2192","3-4",49,0.908593117227691
"20","por","PUD","4","5","0.5149","0.253","3-4",49,0.884507011579162
"20","rus","PSUD","5","3","0.6862","0.3076","5",42,0.901244012237687
"20","rus","PUD","4","5","0.5191","0.2619","3-4",42,0.883575273042889
"20","spa","PSUD","4","4","0.661","0.2165","3-4",49,0.911575420333623
"20","spa","PUD","4","5","0.522","0.2172","3-4",49,0.872305686808246
"20","swe","PSUD","7","5","0.6068","0.3007","6-7",47,0.909117017620232
"20","swe","PUD","4","5","0.4693","0.2914","3-4",47,0.870754386898011
"20","tha","PSUD","5","2","0.8365","0.3064","5",59,0.885415608406523
"20","tha","PUD","7","6","0.6483","0.2717","6-7",59,0.877326108725157
"20","tur","PSUD","7","3","0.6905","0.1881","6-7",32,0.749958167979514
"20","tur","PUD","7","4","0.6889","0.1841","6-7",32,0.746879150290604
"20","zho","PSUD","7","10","0.6132","0.2309","6-7",59,0.751990948411118
"20","zho","PUD","7","10","0.5768","0.235","6-7",59,0.761233991052542
"21","ara","PSUD","5","4","0.6775","0.226","5",46,0.918510854833515
"21","ara","PUD","6","13","0.6173","0.2429","6-7",46,0.906864982775374
"21","ces","PSUD","3","4","0.5904","0.2635","3-4",29,0.877849026428335
"21","ces","PUD","4","5","0.5021","0.2353","3-4",29,0.860573463840239
"21","deu","PSUD","4","3","0.5881","0.2348","3-4",44,0.777609501966505
"21","deu","PUD","4","4","0.4873","0.2069","3-4",44,0.75422905812065
"21","eng","PSUD","4","5","0.5792","0.2098","3-4",62,0.897302939831729
"21","eng","PUD","4","6","0.4682","0.2194","3-4",62,0.865857593367168
"21","fin","PSUD","3","5","0.5465","0.2712","3-4",28,0.907408597307084
"21","fin","PUD","3","6","0.4906","0.2613","3-4",28,0.901733041769692
"21","fra","PSUD","4","4","0.6571","0.2025","3-4",44,0.908242662791758
"21","fra","PUD","4","6","0.4947","0.1825","3-4",44,0.878165244284326
"21","hin","PSUD","7","3","0.7356","0.1611","6-7",42,0.747919213780073
"21","hin","PUD","4","3","0.6903","0.1492","3-4",42,0.736293242561135
"21","ind","PSUD","5","3","0.7265","0.2713","5",46,0.911233872216877
"21","ind","PUD","4","4","0.5819","0.2505","3-4",46,0.895844625009436
"21","isl","PSUD","4","4","0.6616","0.2166","3-4",50,0.90859381453596
"21","isl","PUD","4","6","0.4908","0.1983","3-4",50,0.874962511725581
"21","ita","PSUD","4","5","0.6231","0.1393","3-4",46,0.906780065565227
"21","ita","PUD","4","6","0.4896","0.1978","3-4",46,0.882366532772025
"21","jpn","PSUD","7","7","0.7078","0.1225","6-7",41,0.804705151835936
"21","jpn","PUD","4","6","0.5623","0.0145","3-4",41,0.829827085835005
"21","kor","PSUD","7","9","0.7277","0.1727","6-7",34,0.775643029883151
"21","kor","PUD","7","8","0.7254","0.1691","6-7",34,0.767892374822972
"21","pol","PSUD","4","3","0.7049","0.2881","3-4",45,0.916262160100638
"21","pol","PUD","3","4","0.5661","0.2835","3-4",45,0.898024790457539
"21","por","PSUD","4","4","0.6592","0.2191","3-4",49,0.916901501527175
"21","por","PUD","4","5","0.5166","0.2304","3-4",49,0.882904158564578
"21","rus","PSUD","6","6","0.6751","0.303","6-7",38,0.902270140564705
"21","rus","PUD","3","4","0.5272","0.3026","3-4",38,0.881625607216377
"21","spa","PSUD","4","4","0.6487","0.2085","3-4",45,0.900709145342682
"21","spa","PUD","4","7","0.4821","0.1431","3-4",45,0.87519530980999
"21","swe","PSUD","4","4","0.6345","0.2315","3-4",42,0.901444560231919
"21","swe","PUD","4","6","0.4734","0.203","3-4",42,0.864461166372538
"21","tha","PSUD","6","3","0.8216","0.3374","6-7",48,0.915281207985007
"21","tha","PUD","6","11","0.7497","0.3315","6-7",48,0.903945849004433
"21","tur","PSUD","7","6","0.7002","0.1697","6-7",42,0.726188858486171
"21","tur","PUD","7","7","0.6819","0.1751","6-7",42,0.725989637396069
"21","zho","PSUD","7","13","0.6107","0.2202","6-7",60,0.743268442558489
"21","zho","PUD","7","7","0.567","0.2239","6-7",60,0.740382059708402
"22","ara","PSUD","5","3","0.7248","0.2484","5",46,0.899727600990218
"22","ara","PUD","5","3","0.6777","0.2517","5",46,0.89026744124172
"22","ces","PSUD","3","4","0.618","0.2323","3-4",29,0.889473618758376
"22","ces","PUD","3","4","0.5429","0.2446","3-4",29,0.855959202788141
"22","deu","PSUD","4","4","0.517","0.2317","3-4",44,0.809686311833408
"22","deu","PUD","4","4","0.4762","0.2253","3-4",44,0.789091330396769
"22","eng","PSUD","4","5","0.56","0.2225","3-4",34,0.896358425374917
"22","eng","PUD","4","7","0.4238","0.2214","3-4",34,0.851842048589432
"22","fin","PSUD","6","4","0.7202","0.3801","6-7",21,0.91686686263328
"22","fin","PUD","6","2","0.6306","0.3778","6-7",21,0.905630306498534
"22","fra","PSUD","4","4","0.657","0.227","3-4",37,0.925784529485939
"22","fra","PUD","4","6","0.4921","0.199","3-4",37,0.894400141947172
"22","hin","PSUD","7","3","0.7123","0.1612","6-7",43,0.735508142788346
"22","hin","PUD","7","4","0.6587","0.1743","6-7",43,0.734171823844926
"22","ind","PSUD","6","5","0.7059","0.3268","6-7",32,0.941097336259468
"22","ind","PUD","6","4","0.5705","0.3003","6-7",32,0.925908812689831
"22","isl","PSUD","6","6","0.6941","0.2957","6-7",33,0.916935878228713
"22","isl","PUD","4","6","0.4708","0.2149","3-4",33,0.871763600182437
"22","ita","PSUD","4","4","0.6458","0.1967","3-4",43,0.903353792687119
"22","ita","PUD","4","6","0.4986","0.1745","3-4",43,0.887788988793501
"22","jpn","PSUD","7","9","0.7704","0.1711","6-7",40,0.830039910687476
"22","jpn","PUD","4","6","0.5432","0.0747","3-4",40,0.854699104879301
"22","kor","PSUD","7","11","0.8692","0.1938","6-7",26,0.753462741339473
"22","kor","PUD","7","11","0.7069","0.1682","6-7",26,0.751568115226226
"22","pol","PSUD","3","3","0.6946","0.2739","3-4",29,0.903610745804204
"22","pol","PUD","4","4","0.5822","0.2332","3-4",29,0.889309312925789
"22","por","PSUD","4","5","0.6059","0.1867","3-4",45,0.918168703923415
"22","por","PUD","4","6","0.4809","0.2114","3-4",45,0.887218234182313
"22","rus","PSUD","4","4","0.6293","0.2016","3-4",37,0.88509373415374
"22","rus","PUD","4","5","0.5367","0.185","3-4",37,0.865509290464961
"22","spa","PSUD","4","4","0.6407","0.209","3-4",39,0.898347119555045
"22","spa","PUD","4","6","0.4924","0.1786","3-4",39,0.876411510866674
"22","swe","PSUD","3","4","0.5969","0.278","3-4",37,0.907549833235879
"22","swe","PUD","3","5","0.4705","0.2727","3-4",37,0.874443307063169
"22","tha","PSUD","7","3","0.8516","0.283","6-7",49,0.890512309536629
"22","tha","PUD","7","4","0.6567","0.2592","6-7",49,0.886084617505532
"22","tur","PSUD","7","11","0.5978","0.1392","6-7",19,0.695734342500518
"22","tur","PUD","7","11","0.6765","0.1612","6-7",19,0.694562389667209
"22","zho","PSUD","6","20","0.6265","0.2129","6-7",51,0.764138627020996
"22","zho","PUD","7","7","0.5751","0.224","6-7",51,0.771625898042767
"23","ara","PSUD","7","5","0.8327","0.3234","6-7",36,0.920852299783292
"23","ara","PUD","7","10","0.6621","0.2641","6-7",36,0.900332641217419
"23","ces","PSUD","6","5","0.5851","0.2846","6-7",20,0.910762549450475
"23","ces","PUD","3","5","0.4726","0.2915","3-4",20,0.890125420191369
"23","deu","PSUD","4","4","0.5204","0.207","3-4",42,0.792435331601125
"23","deu","PUD","4","5","0.464","0.1606","3-4",42,0.76378617640578
"23","eng","PSUD","4","5","0.5728","0.2137","3-4",43,0.910235472667417
"23","eng","PUD","4","6","0.4554","0.2321","3-4",43,0.879148197427054
"23","fin","PSUD","3","3","0.624","0.2816","3-4",12,0.878601002611904
"23","fin","PUD","6","3","0.7107","0.2982","6-7",12,0.866150363940601
"23","fra","PSUD","4","4","0.651","0.2211","3-4",47,0.919114382917314
"23","fra","PUD","4","6","0.4934","0.19","3-4",47,0.89746600572104
"23","hin","PSUD","7","3","0.8696","0.192","6-7",50,0.761933991192415
"23","hin","PUD","7","5","0.6631","0.1785","6-7",50,0.768816000524525
"23","ind","PSUD","4","3","0.7377","0.2354","3-4",39,0.912812578315492
"23","ind","PUD","7","6","0.6303","0.271","6-7",39,0.88757516160887
"23","isl","PSUD","3","3","0.7069","0.3278","3-4",25,0.945534090919773
"23","isl","PUD","3","4","0.5605","0.288","3-4",25,0.914613480512026
"23","ita","PSUD","4","4","0.6488","0.2174","3-4",54,0.920597191811748
"23","ita","PUD","4","5","0.5187","0.2213","3-4",54,0.89785684321724
"23","jpn","PSUD","7","9","0.7804","0.1582","6-7",35,0.827149181880034
"23","jpn","PUD","4","7","0.5147","0.0171","3-4",35,0.842459927819183
"23","kor","PSUD","7","11","0.7245","0.1676","6-7",29,0.782904746815909
"23","kor","PUD","7","11","0.7094","0.1741","6-7",29,0.785002368903649
"23","pol","PSUD","4","5","0.607","0.1656","3-4",20,0.906974387988575
"23","pol","PUD","3","4","0.5759","0.2495","3-4",20,0.894628394564084
"23","por","PSUD","4","5","0.6215","0.1544","3-4",39,0.914295625085945
"23","por","PUD","4","6","0.4913","0.184","3-4",39,0.884356898192912
"23","rus","PSUD","5","3","0.7088","0.2514","5",21,0.897714061760996
"23","rus","PUD","4","5","0.5423","0.1809","3-4",21,0.878209549609003
"23","spa","PSUD","4","4","0.674","0.1942","3-4",40,0.919066428366587
"23","spa","PUD","4","6","0.5093","0.1572","3-4",40,0.886269673643469
"23","swe","PSUD","3","4","0.5918","0.2802","3-4",33,0.913572646382602
"23","swe","PUD","4","8","0.4321","0.159","3-4",33,0.878328369246785
"23","tha","PSUD","6","4","0.7239","0.2587","6-7",41,0.91783130491544
"23","tha","PUD","7","6","0.636","0.285","6-7",41,0.90893421664066
"23","tur","PSUD","5","3","0.6676","0.1814","5",14,0.747215138879391
"23","tur","PUD","5","3","0.6512","0.1781","5",14,0.730024704091476
"23","zho","PSUD","7","8","0.602","0.2177","6-7",33,0.767755897534524
"23","zho","PUD","4","5","0.4796","0.1731","3-4",33,0.801087940137555
"24","ara","PSUD","5","3","0.7297","0.2546","5",32,0.923951124086267
"24","ara","PUD","5","4","0.605","0.2227","5",32,0.906733520768316
"24","ces","PSUD","4","4","0.5994","0.2126","3-4",27,0.883979542436008
"24","ces","PUD","3","5","0.4921","0.2179","3-4",27,0.859747847228158
"24","deu","PSUD","4","4","0.5454","0.2045","3-4",43,0.818212537079895
"24","deu","PUD","4","4","0.5001","0.2077","3-4",43,0.801290576513645
"24","eng","PSUD","3","5","0.5584","0.2429","3-4",32,0.91455718456089
"24","eng","PUD","3","6","0.4329","0.2691","3-4",32,0.880129062119827
"24","fin","PSUD","3","3","0.6619","0.2809","3-4",11,0.90075944786099
"24","fin","PUD","3","5","0.5125","0.2409","3-4",11,0.893329442652552
"24","fra","PSUD","4","5","0.6113","0.153","3-4",43,0.913685452403748
"24","fra","PUD","4","6","0.4968","0.1609","3-4",43,0.88847280966986
"24","hin","PSUD","7","3","0.7196","0.1621","6-7",48,0.772467808707774
"24","hin","PUD","7","5","0.6575","0.1754","6-7",48,0.765291653530495
"24","ind","PSUD","5","4","0.6476","0.2144","5",30,0.916753832926696
"24","ind","PUD","7","7","0.5821","0.234","6-7",30,0.904393570738466
"24","isl","PSUD","3","3","0.6922","0.2904","3-4",37,0.925305625791448
"24","isl","PUD","3","4","0.5285","0.2738","3-4",37,0.900388736873916
"24","ita","PSUD","3","4","0.6398","0.2364","3-4",34,0.9270253495125
"24","ita","PUD","3","5","0.4982","0.258","3-4",34,0.904190511327481
"24","jpn","PSUD","7","12","0.7467","0.1811","6-7",46,0.844184292938333
"24","jpn","PUD","4","6","0.5086","0.111","3-4",46,0.864832761417466
"24","kor","PSUD","7","6","0.7509","0.1587","6-7",13,0.800883316882814
"24","kor","PUD","7","7","0.7309","0.1663","6-7",13,0.799016133741773
"24","pol","PSUD","5","3","0.6977","0.2484","5",27,0.899319647381078
"24","pol","PUD","5","4","0.5647","0.2338","5",27,0.883715735131966
"24","por","PSUD","4","4","0.6485","0.2123","3-4",37,0.923076673862917
"24","por","PUD","4","6","0.4914","0.1734","3-4",37,0.891739178762439
"24","rus","PSUD","6","7","0.6881","0.2955","6-7",25,0.922037836836346
"24","rus","PUD","4","5","0.535","0.2087","3-4",25,0.892792497733237
"24","spa","PSUD","3","3","0.689","0.2787","3-4",35,0.919866260814843
"24","spa","PUD","3","4","0.5324","0.2635","3-4",35,0.896678363824082
"24","swe","PSUD","3","5","0.5635","0.2298","3-4",25,0.908745328148104
"24","swe","PUD","4","8","0.4198","0.1732","3-4",25,0.867719992150316
"24","tha","PSUD","5","2","0.8288","0.3265","5",34,0.930387852754686
"24","tha","PUD","6","13","0.6393","0.2931","6-7",34,0.928807480682929
"24","tur","PSUD","3","3","0.6693","0.1929","3-4",8,0.807664379632873
"24","tur","PUD","3","3","0.678","0.1852","3-4",8,0.803757988869188
"24","zho","PSUD","7","4","0.6127","0.2146","6-7",25,0.7798223272919
"24","zho","PUD","7","4","0.5604","0.2208","6-7",25,0.776262891432274
"25","ara","PSUD","5","3","0.7381","0.2403","5",24,0.921359182531865
"25","ara","PUD","5","4","0.6208","0.2056","5",24,0.907984397710869
"25","ces","PSUD","5","4","0.6056","0.2446","5",28,0.907830204315128
"25","ces","PUD","4","5","0.5207","0.1953","3-4",28,0.891472126342114
"25","deu","PSUD","4","4","0.5387","0.1706","3-4",31,0.778790200431153
"25","deu","PUD","4","4","0.4956","0.1774","3-4",31,0.757284053683374
"25","eng","PSUD","3","4","0.5844","0.2699","3-4",22,0.915350460529034
"25","eng","PUD","3","6","0.4372","0.262","3-4",22,0.889025299092108
"25","fin","PSUD","5","2","0.7904","0.3075","5",11,0.902961262863645
"25","fin","PUD","6","4","0.6765","0.3138","6-7",11,0.892663074431779
"25","fra","PSUD","4","4","0.6613","0.1955","3-4",37,0.924156175451668
"25","fra","PUD","4","6","0.4896","0.1859","3-4",37,0.89672975170832
"25","hin","PSUD","7","5","0.7384","0.1496","6-7",28,0.767269957163906
"25","hin","PUD","7","6","0.6766","0.1536","6-7",28,0.729233428575571
"25","ind","PSUD","5","4","0.6477","0.2339","5",25,0.925229736198681
"25","ind","PUD","3","4","0.5737","0.2723","3-4",25,0.924259538473134
"25","isl","PSUD","5","4","0.6403","0.2292","5",22,0.918655131647076
"25","isl","PUD","3","4","0.5315","0.2636","3-4",22,0.889106119412501
"25","ita","PSUD","4","5","0.5994","0.1873","3-4",39,0.926419457049271
"25","ita","PUD","4","7","0.47","0.1736","3-4",39,0.907129094187533
"25","jpn","PSUD","7","9","0.7137","0.1157","6-7",46,0.834758252016639
"25","jpn","PUD","4","7","0.5229","0.0174","3-4",46,0.850218837306978
"25","kor","PSUD","7","11","0.637","0.1453","6-7",17,0.811636789679152
"25","kor","PUD","5","4","0.6228","0.1483","5",17,0.806904305907739
"25","pol","PSUD","5","4","0.6637","0.1924","5",12,0.91769760091232
"25","pol","PUD","4","5","0.5531","0.1528","3-4",12,0.889394335104646
"25","por","PSUD","4","4","0.6394","0.2115","3-4",26,0.923438928200402
"25","por","PUD","4","5","0.4915","0.2301","3-4",26,0.894106183154769
"25","rus","PSUD","5","4","0.6289","0.2212","5",23,0.908131195944465
"25","rus","PUD","4","5","0.5157","0.2195","3-4",23,0.894442790515142
"25","spa","PSUD","4","4","0.6487","0.1966","3-4",39,0.915512001485342
"25","spa","PUD","4","5","0.513","0.205","3-4",39,0.891336218660413
"25","swe","PSUD","3","4","0.6168","0.2304","3-4",30,0.907657258308392
"25","swe","PUD","4","6","0.4714","0.1857","3-4",30,0.874403260438313
"25","tha","PSUD","5","3","0.7314","0.2368","5",46,0.912994637070761
"25","tha","PUD","7","8","0.5915","0.2247","6-7",46,0.90389162382167
"25","tur","PSUD","5","3","0.6857","0.1683","5",19,0.765767246579867
"25","tur","PUD","5","3","0.6862","0.1657","5",19,0.771146464209943
"25","zho","PSUD","5","3","0.6208","0.1812","5",25,0.723748526422231
"25","zho","PUD","5","3","0.6049","0.1898","5",25,0.757063462692585
"26","ara","PSUD","5","3","0.712","0.2634","5",19,0.932050159010303
"26","ara","PUD","3","3","0.6559","0.2475","3-4",19,0.911229599766802
"26","ces","PSUD","4","5","0.5903","0.1998","3-4",18,0.93741191933485
"26","ces","PUD","3","5","0.4865","0.2608","3-4",18,0.904316949359474
"26","deu","PSUD","4","4","0.527","0.1787","3-4",24,0.79712828864391
"26","deu","PUD","4","4","0.4962","0.1815","3-4",24,0.782644085414895
"26","eng","PSUD","3","4","0.6114","0.2494","3-4",36,0.921661712631056
"26","eng","PUD","3","6","0.4566","0.2318","3-4",36,0.89413930683987
"26","fin","PSUD","5","3","0.6374","0.2675","5",7,0.896936320076518
"26","fin","PUD","6","7","0.7138","0.283","6-7",7,0.871038939634449
"26","fra","PSUD","3","4","0.6402","0.2315","3-4",40,0.93333115468859
"26","fra","PUD","3","5","0.5079","0.2371","3-4",40,0.911971733225777
"26","hin","PSUD","7","3","0.8872","0.1809","6-7",30,0.798367022925574
"26","hin","PUD","7","4","0.6899","0.1625","6-7",30,0.791870210852577
"26","ind","PSUD","5","2","0.8044","0.3191","5",22,0.922569801463516
"26","ind","PUD","6","6","0.7379","0.3145","6-7",22,0.908621345066238
"26","isl","PSUD","5","4","0.6555","0.2274","5",17,0.931838001898456
"26","isl","PUD","4","5","0.5124","0.216","3-4",17,0.913616617545571
"26","ita","PSUD","3","4","0.6384","0.2144","3-4",24,0.92021294559944
"26","ita","PUD","4","6","0.4904","0.1556","3-4",24,0.88600695443044
"26","jpn","PSUD","7","11","0.6898","0.1313","6-7",40,0.848771552634026
"26","jpn","PUD","4","6","0.5216","0.0994","3-4",40,0.86793728304793
"26","kor","PSUD","7","8","0.6841","0.1202","6-7",5,0.828761863843699
"26","kor","PUD","7","9","0.6832","0.1214","6-7",5,0.838355393807214
"26","pol","PSUD","5","4","0.6418","0.2151","5",15,0.911410935327899
"26","pol","PUD","3","3","0.6099","0.2898","3-4",15,0.901279159818222
"26","por","PSUD","4","4","0.6433","0.2115","3-4",41,0.926840504953475
"26","por","PUD","4","6","0.4825","0.1862","3-4",41,0.899639927419722
"26","rus","PSUD","5","3","0.6956","0.2822","5",14,0.936825698112405
"26","rus","PUD","4","4","0.5501","0.2647","3-4",14,0.926823397479558
"26","spa","PSUD","3","4","0.6321","0.2363","3-4",43,0.931196462815476
"26","spa","PUD","4","5","0.5116","0.2189","3-4",43,0.907418646258453
"26","swe","PSUD","4","5","0.5769","0.16","3-4",17,0.905839804377554
"26","swe","PUD","4","7","0.4355","0.1635","3-4",17,0.87810964417521
"26","tha","PSUD","5","3","0.7388","0.2163","5",41,0.906984642516325
"26","tha","PUD","4","4","0.608","0.1921","3-4",41,0.899575788508311
"26","tur","PSUD","7","6","0.722","0.1604","6-7",11,0.791178796419372
"26","tur","PUD","4","5","0.5896","0.06","3-4",11,0.77292157766011
"26","zho","PSUD","6","20","0.6146","0.2047","6-7",24,0.785798970214269
"26","zho","PUD","7","6","0.5751","0.2173","6-7",24,0.803554116775645
"27","ara","PSUD","5","3","0.7549","0.2246","5",17,0.921925205274076
"27","ara","PUD","5","3","0.6955","0.2291","5",17,0.904604268364318
"27","ces","PSUD","3","4","0.6076","0.227","3-4",14,0.908157470897192
"27","ces","PUD","3","5","0.4922","0.2342","3-4",14,0.894686669426765
"27","deu","PSUD","4","4","0.5063","0.1889","3-4",19,0.793144910208651
"27","deu","PUD","3","4","0.4633","0.215","3-4",19,0.810959381044377
"27","eng","PSUD","4","5","0.5617","0.2131","3-4",26,0.916997446222713
"27","eng","PUD","4","8","0.4169","0.1786","3-4",26,0.883728930605129
"27","fin","PSUD","5","2","0.7691","0.322","5",7,0.91859443043077
"27","fin","PUD","6","2","0.6266","0.3345","6-7",7,0.90285632122058
"27","fra","PSUD","4","5","0.6191","0.143","3-4",30,0.92337372663737
"27","fra","PUD","4","8","0.4672","0.1126","3-4",30,0.906211946956027
"27","hin","PSUD","7","3","0.728","0.1499","6-7",33,0.782821327088772
"27","hin","PUD","5","3","0.6766","0.1594","5",33,0.780881140148446
"27","ind","PSUD","5","3","0.7226","0.2452","5",19,0.92289225020133
"27","ind","PUD","6","7","0.5895","0.2189","6-7",19,0.908989260551205
"27","isl","PSUD","4","4","0.6671","0.1831","3-4",14,0.930846267881286
"27","isl","PUD","4","5","0.5233","0.1944","3-4",14,0.907626473952867
"27","ita","PSUD","3","4","0.6385","0.2282","3-4",28,0.931632688660333
"27","ita","PUD","3","5","0.5045","0.2403","3-4",28,0.914521781185419
"27","jpn","PSUD","7","6","0.7008","0.1243","6-7",35,0.856471195347002
"27","jpn","PUD","4","6","0.5293","0.0925","3-4",35,0.866633565743155
"27","kor","PSUD","5","3","0.7648","0.1649","5",8,0.857681184358786
"27","kor","PUD","5","4","0.6783","0.1366","5",8,0.860313728853797
"27","pol","PSUD","6","7","0.6806","0.2703","6-7",13,0.920620405943459
"27","pol","PUD","6","5","0.6131","0.2756","6-7",13,0.911539232795434
"27","por","PSUD","4","4","0.6431","0.2033","3-4",39,0.924229792272401
"27","por","PUD","4","7","0.4591","0.1546","3-4",39,0.901843505385854
"27","rus","PSUD","3","5","0.6078","0.1622","3-4",11,0.916827258953843
"27","rus","PUD","3","5","0.5361","0.1931","3-4",11,0.900692743626919
"27","spa","PSUD","3","4","0.6516","0.2155","3-4",34,0.935600156778059
"27","spa","PUD","4","6","0.4919","0.1878","3-4",34,0.910526850080508
"27","swe","PSUD","5","4","0.6294","0.235","5",19,0.925602243323611
"27","swe","PUD","3","6","0.4739","0.2099","3-4",19,0.902344574244482
"27","tha","PSUD","7","5","0.8472","0.2819","6-7",29,0.915521363812166
"27","tha","PUD","6","6","0.657","0.2529","6-7",29,0.915644346144959
"27","tur","PSUD","7","6","0.6259","0.1278","6-7",11,0.770154686109985
"27","tur","PUD","7","5","0.6134","0.1306","6-7",11,0.767202166550209
"27","zho","PSUD","5","3","0.62","0.1955","5",24,0.786467048184451
"27","zho","PUD","7","7","0.5795","0.2147","6-7",24,0.817942670583113
"28","ara","PSUD","5","3","0.7105","0.2471","5",22,0.925836492078353
"28","ara","PUD","6","11","0.6332","0.2703","6-7",22,0.923998854964552
"28","ces","PSUD","5","4","0.6448","0.1873","5",10,0.905916114396127
"28","ces","PUD","4","6","0.4953","0.1311","3-4",10,0.874861822462582
"28","deu","PSUD","4","4","0.5302","0.1821","3-4",18,0.809308930940762
"28","deu","PUD","4","5","0.4705","0.1517","3-4",18,0.800828371705112
"28","eng","PSUD","3","5","0.5803","0.1954","3-4",20,0.922869285598732
"28","eng","PUD","4","7","0.4505","0.1658","3-4",20,0.89827060168135
"28","fin","PSUD","5","2","0.7136","0.3763","5",3,0.929668780831572
"28","fin","PUD","6","2","0.7031","0.3711","6-7",3,0.937696264121422
