"0","1","2","3","4","5","6","7","0.dmax","1.q","2.q","2.dmax","3.q1","3.q2","3.dstar","4.q1","4.q2","4.dstar","4.dmax","5.dmax","5.gam","6.gamma","6.q","6.dstar","7.gamma","7.q","7.dstar","7.dmax","ISO_language","best","coll"
104223.334586975,68312.6091075227,68314.6085160413,66369.6437170597,66368.5469806029,69289.087524791,67786.28590693,67788.215994362,"-",0.402925274958966,0.402925269455718,35,0.490342242362229,0.206885855360837,6,0.490590970938529,0.205889743345458,6,35,35,1.83032376245364,1.44559389773944,0.307439524171443,4,1.44562536450201,0.30741955688494,4,35,"ita","4","PUD"
135512.119495263,93745.9690423335,93747.9690422057,85221.9839217538,85221.4059066139,87112.2482781501,86524.3645748109,86524.9136107959,"-",0.3366678059618,0.336667806338012,65,0.521426527471345,0.118777123381918,6,0.521599293848403,0.118425101467213,6,65,65,1.84891711277938,1.75444994904236,0.129949620562925,13,1.75477060705949,0.129560823007076,13,65,"jpn","4","PUD"
64172.5289597738,50365.388549479,50367.3870504801,45473.7050197256,45472.322566752,45646.5389599402,45336.7174208083,45332.4114339923,"-",0.363944072695082,0.363944072695082,37,0.700216837004866,0.197129574962419,3,0.700566195802478,0.196542017600309,3,37,37,1.88564721780006,1.88594850316778,0.180069901170623,5,1.88841241469328,0.178774611363201,5,37,"kor","7","PUD"
66254.5801813403,45102.6283147299,45104.6253045717,43851.3791425867,43852.1117838373,44718.723861542,43956.0714827358,43957.6446372567,"-",0.449068005443649,0.44906758417977,27,0.569151557217575,0.287720861684092,4,0.569315451835427,0.287220394194737,4,27,27,1.93605485428362,1.65307590724746,0.323970617686038,4,1.65330620373621,0.323795579282892,4,27,"pol","3","PUD"
100042.152675845,67212.9368438666,67214.9353905315,65360.716279724,65361.0531919992,68009.8789354717,66557.1802608973,66559.0490552304,"-",0.395621959717961,0.395621954279831,34,0.503679453706458,0.23371267279348,5,0.503830553742987,0.233247557411752,5,34,34,1.81177573531335,1.43567239400205,0.301422962292966,4,1.43573070210969,0.301387380484777,4,34,"por","3","PUD"
70473.6416195946,47879.1840012311,47881.1837390721,46749.904347487,46751.2746403809,48290.7052428088,47201.2670373259,47203.2201792916,"-",0.440448220016751,0.440448214616475,32,0.528660239748366,0.260548717328825,5,0.528744588223693,0.260218112939553,5,32,32,1.91599582240861,1.56373268762012,0.332149527049144,4,1.56376839473113,0.332128926063505,4,32,"rus","3","PUD"
101194.173472508,67352.9925382451,67354.9892256388,65377.3138874995,65376.2454501636,67933.6576796566,66641.1187235822,66642.8362266212,"-",0.399240915769562,0.399240769242072,32,0.509502819417415,0.231243137207885,5,0.509756516449841,0.230442475063673,5,32,32,1.81570073771363,1.46037786547509,0.300046780681475,4,1.4604927774203,0.299975440819421,4,32,"spa","4","PUD"
75638.7414713019,53806.6749645019,53808.6715355159,53135.1345616865,53136.0108856391,55622.7276796455,53632.9159444098,53634.8872869698,"-",0.404258523350542,0.404258249869418,31,0.46183589362661,0.257124626823284,6,0.461962516010993,0.256519376268036,6,31,31,1.79122397155024,1.21426528157996,0.358034244548645,3,1.21428248733035,0.358025637479778,3,31,"swe","3","PUD"
108080.665619629,69552.7600236322,69554.7599369642,65716.5166820317,65718.283645051,66241.9675808942,65519.46561309,65520.6923427876,"-",0.409229751551587,0.409229752955089,38,0.653396103596418,0.258065853405691,3,0.653421994173803,0.258018476451223,3,38,38,1.93320946428418,1.77009638421067,0.230142674880847,7,1.77034906773979,0.229850418235113,7,38,"tha","6","PUD"
62863.7233080676,51438.9076816634,51440.8907372289,47361.9807861745,47357.6771380524,47697.0937750146,47250.4420623875,47244.9351815135,"-",0.343303746476053,0.343301728802238,34,0.669892355930809,0.200515152147115,3,0.670510489275267,0.199559391496694,3,34,34,1.79661229176714,1.81158267053972,0.195473609688522,4,1.81456126809137,0.194227082247253,4,34,"tur","7","PUD"
